"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 13, 2020","94.68","95.14","95.50","94.00","6.00M","-0.87%"
"Aug 12, 2020","95.51","93.45","95.58","93.33","7.71M","3.06%"
"Aug 11, 2020","92.67","92.31","93.29","92.13","7.21M","0.31%"
"Aug 10, 2020","92.38","92.63","93.67","92.15","7.62M","-0.58%"
"Aug 07, 2020","92.92","92.69","93.00","92.20","5.23M","0.38%"
"Aug 06, 2020","92.57","93.32","93.65","91.78","7.27M","-0.73%"
"Aug 05, 2020","93.25","94.47","94.80","93.13","6.93M","-1.10%"
"Aug 04, 2020","94.29","95.92","96.03","94.06","7.87M","-1.72%"
"Aug 03, 2020","95.94","95.19","97.17","95.06","6.92M","1.09%"
"Jul 31, 2020","94.91","95.54","97.25","93.55","14.61M","-1.18%"
"Jul 30, 2020","96.04","96.31","96.74","95.41","6.41M","-1.00%"
"Jul 29, 2020","97.01","96.87","97.40","96.64","5.51M","0.31%"
"Jul 28, 2020","96.71","97.00","97.62","96.45","5.94M","-0.46%"
"Jul 27, 2020","97.16","96.35","97.89","96.26","5.03M","0.05%"
"Jul 24, 2020","97.11","98.05","98.19","96.46","5.17M","-0.94%"
"Jul 23, 2020","98.03","98.24","98.92","97.45","5.13M","0.34%"
"Jul 22, 2020","97.70","97.80","98.28","96.93","4.44M","0.31%"
"Jul 21, 2020","97.40","99.81","99.81","97.17","8.24M","-2.15%"
"Jul 20, 2020","99.54","100.76","101.25","99.25","4.82M","-1.28%"
"Jul 17, 2020","100.83","100.29","101.28","99.92","6.90M","0.91%"
"Jul 16, 2020","99.92","99.69","100.23","98.81","4.27M","-0.56%"
"Jul 15, 2020","100.48","100.00","100.48","98.82","5.66M","1.63%"
"Jul 14, 2020","98.87","96.97","99.10","95.94","6.77M","1.03%"
"Jul 13, 2020","97.86","97.36","99.56","96.92","8.51M","1.06%"
"Jul 10, 2020","96.83","98.06","98.33","96.36","6.20M","-1.13%"
"Jul 09, 2020","97.94","99.08","99.78","96.81","5.82M","-1.35%"
"Jul 08, 2020","99.28","99.75","100.57","98.55","6.15M","-0.07%"
"Jul 07, 2020","99.35","98.68","100.69","98.56","6.35M","0.34%"
"Jul 06, 2020","99.01","99.64","99.80","97.95","7.04M","0.13%"
"Jul 02, 2020","98.88","99.45","99.99","97.86","6.16M","-0.26%"
"Jul 01, 2020","99.14","98.50","99.66","97.50","6.52M","0.98%"
"Jun 30, 2020","98.18","95.97","98.88","95.83","8.11M","1.80%"
"Jun 29, 2020","96.44","96.50","97.33","95.68","6.68M","0.32%"
"Jun 26, 2020","96.13","96.89","97.03","95.04","14.57M","-0.89%"
"Jun 25, 2020","96.99","95.18","97.07","94.32","6.41M","1.94%"
"Jun 24, 2020","95.14","96.46","97.16","94.35","9.03M","-2.23%"
"Jun 23, 2020","97.31","98.42","99.10","97.05","6.72M","0.04%"
"Jun 22, 2020","97.27","96.64","97.30","95.81","6.00M","0.58%"
"Jun 19, 2020","96.71","97.72","98.20","95.75","9.21M","0.50%"
"Jun 18, 2020","96.23","95.56","96.45","95.26","4.57M","0.51%"
"Jun 17, 2020","95.74","96.85","97.10","95.27","6.21M","-0.33%"
"Jun 16, 2020","96.06","94.86","96.20","93.48","9.37M","3.20%"
"Jun 15, 2020","93.08","91.27","94.03","90.78","7.12M","0.67%"
"Jun 12, 2020","92.46","93.74","94.74","91.03","8.01M","0.22%"
